KEMET Part Number,Rated Voltage /V,VDC  Surge Voltage /V,Rated Capacitance /uF,Shape,Shape_code,Length /mm,Width /mm,Height /mm,Diameter /mm,Cylinder_length /mm,DC Leakage /mA,Maximum Temperature /deg,Endurance /Hours,MSL /Reflow Temp 260 deg,SPQ,MOQ,Impedance /mohm 20deg 10 kHz,ESL /nH,Type_code,Type,Manufacturer_code,Manufacturer,Dissipation Factor,Final_Price,ESR_at_100_Hz_0_deg,ESR_at_1000_Hz_0_deg,ESR_at_10000_Hz_0_deg,ESR_at_100000_Hz_0_deg,ESR_at_1000000_Hz_0_deg,ESR_at_100_Hz_40_deg,ESR_at_1000_Hz_40_deg,ESR_at_10000_Hz_40_deg,ESR_at_100000_Hz_40_deg,ESR_at_1000000_Hz_40_deg,ESR_at_100_Hz_80_deg,ESR_at_1000_Hz_80_deg,ESR_at_10000_Hz_80_deg,ESR_at_100000_Hz_80_deg,ESR_at_1000000_Hz_80_deg,ESR_at_100_Hz_120_deg,ESR_at_1000_Hz_120_deg,ESR_at_10000_Hz_120_deg,ESR_at_100000_Hz_120_deg,ESR_at_1000000_Hz_120_deg,ESR_at_100_Hz_160_deg,ESR_at_1000_Hz_160_deg,ESR_at_10000_Hz_160_deg,ESR_at_100000_Hz_160_deg,ESR_at_1000000_Hz_160_deg,Ripple_at_100_Hz_0_deg,Ripple_at_1000_Hz_0_deg,Ripple_at_10000_Hz_0_deg,Ripple_at_100000_Hz_0_deg,Ripple_at_1000000_Hz_0_deg,Ripple_at_100_Hz_40_deg,Ripple_at_1000_Hz_40_deg,Ripple_at_10000_Hz_40_deg,Ripple_at_100000_Hz_40_deg,Ripple_at_1000000_Hz_40_deg,Ripple_at_100_Hz_80_deg,Ripple_at_1000_Hz_80_deg,Ripple_at_10000_Hz_80_deg,Ripple_at_100000_Hz_80_deg,Ripple_at_1000000_Hz_80_deg,Ripple_at_100_Hz_120_deg,Ripple_at_1000_Hz_120_deg,Ripple_at_10000_Hz_120_deg,Ripple_at_100000_Hz_120_deg,Ripple_at_1000000_Hz_120_deg,Ripple_at_100_Hz_160_deg,Ripple_at_1000_Hz_160_deg,Ripple_at_10000_Hz_160_deg,Ripple_at_100000_Hz_160_deg,Ripple_at_1000000_Hz_160_deg
A700V107M002ATE016,2.0,,100.0,rectangular,1,7.3,4.3,2.0,,,0.012,125,2000,3.0,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,26.06589,873.8988577,93.26404908,29.51946063,21.26831749,22.00138608,527.545056,56.3005519,17.81996323,12.83900951,13.28153979,429.2897643,45.81457144,14.50099423,10.44774338,10.80785237,302.5699656,32.29080788,10.22052164,7.363728691,7.617538997,159.6972115,17.04317203,5.394417794,3.886595075,4.020556812,223.9365823,23.89891258,7.564361787,5.450006357,5.637855182,135.1834206,14.42701642,4.566365578,3.289996186,3.403394571,110.0055021,11.73998393,3.715879772,2.67723424,2.76951217,77.53355369,8.27451952,2.619008671,1.886955477,1.951994368,40.92241045,4.367312834,1.38231956,0.995939988,1.030267683
A700V107M002ATE018,2.0,,100.0,rectangular,1,7.3,4.3,2.0,,,0.012,125,2000,3.0,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,26.06589,983.136215,104.9220552,33.20939321,23.92685718,24.75155934,593.488188,63.33812089,20.04745864,14.44388569,14.94173226,482.9509848,51.54139286,16.31361851,11.7537113,12.15883392,340.3912113,36.32715887,11.49808685,8.284194777,8.569731372,179.6593629,19.17356854,6.068720018,4.37241946,4.523126414,213.0128466,22.73311196,7.195368529,5.184152388,5.362837856,128.5891074,13.72325953,4.343616038,3.129508567,3.237375323,104.63938,11.16730179,3.534617344,2.546637448,2.634414016,73.75142912,7.870884421,2.49125215,1.794908868,1.856775131,38.92619531,4.154273183,1.314889337,0.94735755,0.980010723
A700V107M002ATE025,2.0,,100.0,rectangular,1,7.3,4.3,2.0,,,0.012,125,2000,3.0,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,24.3777,1365.466965,145.7250767,46.12415724,33.23174608,34.37716574,824.28915,87.96961235,27.84369255,20.06095235,20.75240592,670.7652567,71.58526787,22.65780349,16.32459902,16.88726933,472.7655713,50.45438732,15.96956507,11.50582608,11.90240468,249.526893,26.6299563,8.428777803,6.072804805,6.282120019,180.2416394,19.23571012,6.088388756,4.386590482,4.537785878,108.8061678,11.61198883,3.675367416,2.648045711,2.739317581,88.54101388,9.449255359,2.990830061,2.154847071,2.229119552,62.40505541,6.659979126,2.107982589,1.518769043,1.571117418,32.93754987,3.515154232,1.11259867,0.801610234,0.829239843
A700V107M002ATE028,2.0,,100.0,rectangular,1,7.3,4.3,2.0,,,0.012,125,2000,3.0,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,20.09,1529.323001,163.2120859,51.65905611,37.21955561,38.50242563,923.203848,98.52596583,31.18493565,22.46826664,23.24269463,751.2570875,80.17550001,25.37673991,18.28355091,18.91374165,529.4974398,56.50891379,17.88591287,12.88652521,13.33069325,279.4701201,29.82555106,9.44023114,6.801541382,7.035974421,169.3179037,18.06990951,5.719395498,4.120736514,4.262768552,102.2118546,10.90823193,3.452617876,2.487558092,2.573298334,83.17489183,8.876573216,2.809567633,2.024250279,2.094021397,58.62293084,6.256344027,1.980226068,1.426722434,1.475898181,30.94133473,3.302114582,1.045168448,0.753027796,0.778982882
A700V157M002ATE015,2.0,,150.0,rectangular,1,7.3,4.3,2.0,,,0.018,125,2000,3.0,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,26.06589,819.2801791,87.43504601,27.67449434,19.93904765,20.62629945,494.57349,52.78176741,16.70621553,12.03657141,12.45144355,402.459154,42.95116072,13.59468209,9.794759415,10.1323616,283.6593428,30.27263239,9.58173904,6.903495648,7.14144281,149.7161358,15.97797378,5.057266682,3.643682883,3.769272011,229.3984502,24.48181288,7.748858416,5.582933341,5.775363845,138.4805772,14.77889487,4.677740348,3.370239995,3.486404194,112.6885631,12.026325,3.806510986,2.742532636,2.837061247,79.42461597,8.476337069,2.682886931,1.932978781,1.999603987,41.92051802,4.473832659,1.416034671,1.020231207,1.055396163
A700V157M002ATE018,2.0,,150.0,rectangular,1,7.3,4.3,2.0,,,0.018,125,2000,3.0,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,26.06589,983.136215,104.9220552,33.20939321,23.92685718,24.75155934,593.488188,63.33812089,20.04745864,14.44388569,14.94173226,482.9509848,51.54139286,16.31361851,11.7537113,12.15883392,340.3912113,36.32715887,11.49808685,8.284194777,8.569731372,179.6593629,19.17356854,6.068720018,4.37241946,4.523126414,213.0128466,22.73311196,7.195368529,5.184152388,5.362837856,128.5891074,13.72325953,4.343616038,3.129508567,3.237375323,104.63938,11.16730179,3.534617344,2.546637448,2.634414016,73.75142912,7.870884421,2.49125215,1.794908868,1.856775131,38.92619531,4.154273183,1.314889337,0.94735755,0.980010723
A700V157M002ATE025,2.0,,150.0,rectangular,1,7.3,4.3,2.0,,,0.018,125,2000,3.0,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,24.3777,1365.466965,145.7250767,46.12415724,33.23174608,34.37716574,824.28915,87.96961235,27.84369255,20.06095235,20.75240592,670.7652567,71.58526787,22.65780349,16.32459902,16.88726933,472.7655713,50.45438732,15.96956507,11.50582608,11.90240468,249.526893,26.6299563,8.428777803,6.072804805,6.282120019,180.2416394,19.23571012,6.088388756,4.386590482,4.537785878,108.8061678,11.61198883,3.675367416,2.648045711,2.739317581,88.54101388,9.449255359,2.990830061,2.154847071,2.229119552,62.40505541,6.659979126,2.107982589,1.518769043,1.571117418,32.93754987,3.515154232,1.11259867,0.801610234,0.829239843
A700V157M002ATE028,2.0,,150.0,rectangular,1,7.3,4.3,2.0,,,0.018,125,2000,3.0,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,22.67955,1529.323001,163.2120859,51.65905611,37.21955561,38.50242563,923.203848,98.52596583,31.18493565,22.46826664,23.24269463,751.2570875,80.17550001,25.37673991,18.28355091,18.91374165,529.4974398,56.50891379,17.88591287,12.88652521,13.33069325,279.4701201,29.82555106,9.44023114,6.801541382,7.035974421,169.3179037,18.06990951,5.719395498,4.120736514,4.262768552,102.2118546,10.90823193,3.452617876,2.487558092,2.573298334,83.17489183,8.876573216,2.809567633,2.024250279,2.094021397,58.62293084,6.256344027,1.980226068,1.426722434,1.475898181,30.94133473,3.302114582,1.045168448,0.753027796,0.778982882
A700D187M002ATE015,2.0,,180.0,rectangular,1,7.3,4.3,3.1,,,0.022,125,2000,3.0,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,36.45834,819.2801791,87.43504601,27.67449434,19.93904765,20.62629945,494.57349,52.78176741,16.70621553,12.03657141,12.45144355,402.459154,42.95116072,13.59468209,9.794759415,10.1323616,283.6593428,30.27263239,9.58173904,6.903495648,7.14144281,149.7161358,15.97797378,5.057266682,3.643682883,3.769272011,223.9365823,23.89891258,7.564361787,5.450006357,5.637855182,135.1834206,14.42701642,4.566365578,3.289996186,3.403394571,110.0055021,11.73998393,3.715879772,2.67723424,2.76951217,77.53355369,8.27451952,2.619008671,1.886955477,1.951994368,40.92241045,4.367312834,1.38231956,0.995939988,1.030267683
A700D187M002ATE018,2.0,,180.0,rectangular,1,7.3,4.3,3.1,,,0.022,125,2000,3.0,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,37.74312,983.136215,104.9220552,33.20939321,23.92685718,24.75155934,593.488188,63.33812089,20.04745864,14.44388569,14.94173226,482.9509848,51.54139286,16.31361851,11.7537113,12.15883392,340.3912113,36.32715887,11.49808685,8.284194777,8.569731372,179.6593629,19.17356854,6.068720018,4.37241946,4.523126414,202.0891109,21.56731135,6.826375271,4.91829842,5.08782053,121.9947942,13.01950263,4.120866497,2.969020948,3.071356076,99.27325799,10.59461964,3.353354916,2.416040656,2.499315861,69.96930455,7.467249323,2.36349563,1.70286226,1.761555893,36.92998016,3.941233533,1.247459115,0.898775111,0.929753763
