mfg_number,quantity,price,mfg_name,description
A768EB107M1ELAS036,1,4.38,KEMET,CAP ALUM POLY 100UF 20% 25V SMD
A765EB107M1CLAE025,1,6.86,KEMET,CAP ALUM POLY 100UF 20% 16V SMD
A700V476M006ATE018,1,13.81,KEMET,CAP ALUM POLY 47UF 20% 6.3V SMD
A767MU107M1VLAE029,1,16.46,KEMET,CAP ALUM POLY 100UF 20% 35V SMD
A759MS156M2CAAE094,1,20.84,KEMET,CAP ALUM POLY 15UF 20% 160V TH
A700V106M016ATE045,1,23.32,KEMET,CAP ALUM POLY 10UF 20% 16V SMD
A759MS825M2EAAE458,1,23.57,KEMET,CAP ALUM POLY 8.2UF 20% 250V TH
A767MU107M1JLAE028,1,28.53,KEMET,CAP ALUM POLY 100UF 20% 63V SMD
A759MY227M1JAAE045,1,30.51,KEMET,CAP ALUM POLY 220UF 20% 63V TH
A700X107M010ATE010,1,31.09,KEMET,CAP ALUM POLY 100UF 20% 10V SMD
A700X157M010ATE010,1,31.67,KEMET,CAP ALUM POLY 150UF 20% 10V SMD
A700X337M004ATE010,1,32.75,KEMET,CAP ALUM POLY 330UF 20% 4V SMD
A759PY687M1HAAE026,1,45.73,KEMET,CAP ALUM POLY 680UF 20% 50V TH
APL90A112LH063,1,86.91,KEMET,CAP ALUM POLY 1.1MF 20% 63V TH
A759SZ826M2EAAE150,1,127.93,KEMET,CAP ALUM POLY 82UF 20% 250V TH
A759TC227M2EAAE250,1,232.21,KEMET,CAP ALUM POLY 220UF 20% 250V TH
A750BG227M0JAAE020,1,3.72,KEMET,CAP ALUM POLY 220UF 20% 6.3V TH
A766EB686M1ALAE030,1,3.8,KEMET,CAP ALUM POLY 68UF 20% 10V SMD
A766EB127M1ALAE027,1,3.89,KEMET,CAP ALUM POLY 120UF 20% 10V SMD
A750BG337M0JAAE020,1,3.97,KEMET,CAP ALUM POLY 330UF 20% 6.3V TH
A750EK827M0EAAE007,1,3.97,KEMET,CAP ALUM POLY 820UF 20% 2.5V TH
A759EK227M1AAAE018,1,4.05,KEMET,CAP ALUM POLY 220UF 20% 10V TH
