mfg_number,quantity,price,mfg_name,description
B32529C0102K289,1,1.98,EPCOS - TDK Electronics,CAP FILM 1000PF 10% 63VDC RADIAL
B32529C0104J289,1,2.15,EPCOS - TDK Electronics,CAP FILM 0.1UF 5% 63VDC RADIAL
B32921C3333M000,1,3.31,EPCOS - TDK Electronics,CAP FILM 0.033UF 20% 630VDC RAD
B32922C3104K289,1,4.22,EPCOS - TDK Electronics,CAP FILM 0.1UF 10% 630VDC RADIAL
B32921C3104M189,1,4.3,EPCOS - TDK Electronics,CAP FILM 0.1UF 20% 630VDC RADIAL
B32922C3224K289,1,4.63,EPCOS - TDK Electronics,CAP FILM 0.22UF 10% 630VDC RAD
B32529C0105K189,1,4.71,EPCOS - TDK Electronics,CAP FILM 1UF 10% 63VDC RADIAL
B32529C0105J000,1,4.71,EPCOS - TDK Electronics,CAP FILM 1UF 5% 63VDC RADIAL
B32922C3104M189,1,4.8,EPCOS - TDK Electronics,CAP FILM 0.1UF 20% 630VDC RADIAL
B32021A3222M189,1,5.04,EPCOS - TDK Electronics,CAP FILM 2200PF 20% 1.5KVDC RAD
B32529C0474J289,1,5.21,EPCOS - TDK Electronics,CAP FILM 0.47UF 5% 63VDC RADIAL
B32921C3104M289,1,5.29,EPCOS - TDK Electronics,CAP FILM 0.1UF 20% 630VDC RADIAL
B32021A3103M000,1,5.38,EPCOS - TDK Electronics,CAP FILM 10000PF 20% 1.5KVDC RAD
B32021A3222M289,1,5.54,EPCOS - TDK Electronics,CAP FILM 2200PF 20% 1.5KVDC RAD
B32021A3472M189,1,5.95,EPCOS - TDK Electronics,CAP FILM 4700PF 20% 1.5KVDC RAD
B32932A3104K000,1,6.7,EPCOS - TDK Electronics,CAP FILM 0.1UF 10% 305VAC RADIAL
B32672L8103J000,1,6.86,EPCOS - TDK Electronics,CAP FILM 10000PF 5% 2KVDC RADIAL
B32932A3154K000,1,6.95,EPCOS - TDK Electronics,CAP FILM 0.15UF 10% 305VAC RAD
B32521C0105J000,1,7.61,EPCOS - TDK Electronics,CAP FILM 1UF 5% 63VDC RADIAL
B81123C1472M000,1,7.77,EPCOS - TDK Electronics,CAP FILM 4700PF 20% 500VAC RAD
B32923C3105M000,1,8.27,EPCOS - TDK Electronics,CAP FILM 1UF 20% 630VDC RADIAL
B32653A8222J000,1,9.92,EPCOS - TDK Electronics,CAP FILM 2200PF 5% 2KVDC RADIAL
B32522C1155K000,1,10.01,EPCOS - TDK Electronics,CAP FILM 1.5UF 10% 100VDC RADIAL
B32932A3334K189,1,11.33,EPCOS - TDK Electronics,CAP FILM 0.33UF 10% 305VAC RAD
B32529D0225K289,1,11.83,EPCOS - TDK Electronics,CAP FILM 2.2UF 10% 63VDC RADIAL
B32522C1225J000,1,12.07,EPCOS - TDK Electronics,CAP FILM 2.2UF 5% 100VDC RADIAL
B32671P4684K000,1,12.73,EPCOS - TDK Electronics,CAP FILM 0.68UF 10% 450VDC RAD
B32923C3225M000,1,13.23,EPCOS - TDK Electronics,CAP FILM 2.2UF 20% 630VDC RADIAL
B32521C0335J000,1,14.14,EPCOS - TDK Electronics,CAP FILM 3.3UF 5% 63VDC RADIAL
B32913A3474M000,1,14.89,EPCOS - TDK Electronics,CAP FILM 0.47UF 20% 760VDC RAD
B32023A3154M000,1,15.13,EPCOS - TDK Electronics,CAP FILM 0.15UF 20% 1.5KVDC RAD
B32672P4155K000,1,16.46,EPCOS - TDK Electronics,CAP FILM 1.5UF 10% 450VDC RADIAL
B32924D3335K000,1,18.77,EPCOS - TDK Electronics,CAP FILM 3.3UF 10% 630VDC RADIAL
B32672P4225K000,1,19.27,EPCOS - TDK Electronics,CAP FILM 2.2UF 10% 450VDC RADIAL
B32924C3475M000,1,22.66,EPCOS - TDK Electronics,CAP FILM 4.7UF 20% 630VDC RADIAL
B32913A5334M000,1,22.74,EPCOS - TDK Electronics,CAP FILM 0.33UF 20% 1KVDC RADIAL
B32774D1155K000,1,23.73,EPCOS - TDK Electronics,CAP FILM 1.5UF 10% 1.3KVDC RAD
B32033A4224M000,1,24.39,EPCOS - TDK Electronics,CAP FILM 0.22UF 20% 1KV RADIAL
B32522C0106K000,1,24.56,EPCOS - TDK Electronics,CAP FILM 10UF 10% 63VDC RADIAL
B32674D6225K000,1,24.89,EPCOS - TDK Electronics,CAP FILM 2.2UF 10% 630VDC RADIAL
B32914A3225M000,1,27.29,EPCOS - TDK Electronics,CAP FILM 2.2UF 20% 760VDC RADIAL
B32523Q1106K000,1,27.54,EPCOS - TDK Electronics,CAP FILM 10UF 10% 100VDC RADIAL
B32914A3105M189,1,29.52,EPCOS - TDK Electronics,CAP FILM 1UF 20% 760VDC RADIAL
B32674D8225K000,1,32.33,EPCOS - TDK Electronics,CAP FILM 2.2UF 10% 875VDC RADIAL
B32524R3106K000,1,33.24,EPCOS - TDK Electronics,CAP FILM 10UF 10% 250VDC RADIAL
B32774D0205K000,1,35.56,EPCOS - TDK Electronics,CAP FILM 2UF 10% 1.1KVDC RADIAL
B32523R0226K000,1,37.3,EPCOS - TDK Electronics,CAP FILM 22UF 10% 63VDC RADIAL
B32562J1106K000,1,38.87,EPCOS - TDK Electronics,CAP FILM 10UF 10% 100VDC 2DIP
B32926C3685K000,1,39.28,EPCOS - TDK Electronics,CAP FILM 6.8UF 10% 630VDC RADIAL
B32774D4106K000,1,47.88,EPCOS - TDK Electronics,CAP FILM 10UF 10% 450VDC RADIAL
B32524Q1226K000,1,47.88,EPCOS - TDK Electronics,CAP FILM 22UF 10% 100VDC RADIAL
B32024A3105M000,1,48.71,EPCOS - TDK Electronics,CAP FILM 1UF 20% 1.5KVDC RADIAL
B32774D8126K000,1,52.43,EPCOS - TDK Electronics,CAP FILM 12UF 10% 800VDC RADIAL
B32914A5155M000,1,56.4,EPCOS - TDK Electronics,CAP FILM 1.5UF 20% 1KVDC RADIAL
B32776T0395K000,1,58.05,EPCOS - TDK Electronics,CAP FILM 3.9UF 10% 1.1KVDC RAD
