mfg_number,quantity,price,mfg_name,description
T520A107M006ATE045,1,6.95,KEMET,CAP TANT POLY 100UF 6.3V 1206
T520B107M006ATE070,1,6.95,KEMET,CAP TANT POLY 100UF 6.3V 1411
T520A107M006ATE035,1,7.69,KEMET,CAP TANT POLY 100UF 6.3V 1206
T520B107M006ATE040,1,8.1,KEMET,CAP TANT POLY 100UF 6.3V 1411
T520B476M006ATE070,1,8.35,KEMET,CAP TANT POLY 47UF 6.3V 1411
T520A107M006ATE025,1,8.43,KEMET,CAP TANT POLY 100UF 6.3V 1206
T520A336M006ATE070,1,8.85,KEMET,CAP TANT POLY 33UF 6.3V 1206
T520B476M006ATE040,1,9.51,KEMET,CAP TANT POLY 47UF 6.3V 1411
T520B337M2R5ATE045,1,9.51,KEMET,CAP TANT POLY 330UF 2.5V 1411
T520B227M006ATE070,1,9.68,KEMET,CAP TANT POLY 220UF 6.3V 1411
T520B476M010ATE035,1,10.09,KEMET,CAP TANT POLY 47UF 10V 1411
T527I476M010ATE200,1,10.17,KEMET,CAP TANT POLY 47UF 10V 1206
T520B107M006ATE025,1,10.34,KEMET,CAP TANT POLY 100UF 6.3V 1411
T520B227M004ATE045,1,10.42,KEMET,CAP TANT POLY 220UF 4V 1411
T527I107M006ATE070,1,10.42,KEMET,CAP TANT POLY 100UF 6.3V 1206
T527I107M006ATE100,1,10.42,KEMET,CAP TANT POLY 100UF 6.3V 1206
T520D107M010ATE080,1,10.67,KEMET,CAP TANT POLY 100UF 10V 2917
T520B107M010ATE070,1,10.67,KEMET,CAP TANT POLY 100UF 10V 1411
T520B227M006ATE045,1,10.75,KEMET,CAP TANT POLY 220UF 6.3V 1411
T520B107M004ATE035,1,10.83,KEMET,CAP TANT POLY 100UF 4V 1411
T529P226M010AAE200,1,10.92,KEMET,CAP TANT POLY 22UF 10V 0805
T520B107M006ATE018,1,11.33,KEMET,CAP TANT POLY 100UF 6.3V 1411
T520T476M006ATE070,1,11.33,KEMET,CAP TANT POLY 47UF 6.3V 1411
T520B157M006ATE045,1,11.41,KEMET,CAP TANT POLY 150UF 6.3V 1411
T520B476M006ATE025,1,11.58,KEMET,CAP TANT POLY 47UF 6.3V 1411
T520B337M006ATE070,1,11.66,KEMET,CAP TANT POLY 330UF 6.3V 1411
T520B227M006ATE035,1,11.83,KEMET,CAP TANT POLY 220UF 6.3V 1411
T520D337M006ATE045,1,12.24,KEMET,CAP TANT POLY 330UF 6.3V 2917
TF08A226M016APE200,1,12.24,KEMET,CAP TANT POLY 22UF 16V 1206
T520B106M016ATE100,1,12.32,KEMET,CAP TANT POLY 10UF 16V 1411
T520B107M006ATE015,1,12.4,KEMET,CAP TANT POLY 100UF 6.3V 1411
T520C227M006ATE025,1,12.65,KEMET,CAP TANT POLY 220UF 6.3V 2312
T520B227M006ATE025,1,12.82,KEMET,CAP TANT POLY 220UF 6.3V 1411
T520C107M010ATE025,1,12.9,KEMET,CAP TANT POLY 100UF 10V 2312
T520C337M004ATE025,1,12.9,KEMET,CAP TANT POLY 330UF 4V 2312
T520D107M010ATE018,1,13.23,KEMET,CAP TANT POLY 100UF 10V 2917
T520B157M006ATE025,1,13.4,KEMET,CAP TANT POLY 150UF 6.3V 1411
T520D337M006ATE025,1,13.48,KEMET,CAP TANT POLY 330UF 6.3V 2917
T520D337M006ATE040,1,13.48,KEMET,CAP TANT POLY 330UF 6.3V 2917
T520D157M010ATE055,1,13.56,KEMET,CAP TANT POLY 150UF 10V 2917
T520B337M2R5ATE015,1,13.64,KEMET,CAP TANT POLY 330UF 2.5V 1411
T520C227M006ATE018,1,13.89,KEMET,CAP TANT POLY 220UF 6.3V 2312
T598D337M006ATE025,1,14.14,KEMET,CAP TANT POLY 330UF 6.3V 2917
T520D157M010ATE040,1,14.8,KEMET,CAP TANT POLY 150UF 10V 2917
T520C227M006ATE015,1,15.05,KEMET,CAP TANT POLY 220UF 6.3V 2312
T520D227M010ATE040,1,15.46,KEMET,CAP TANT POLY 220UF 10V 2917
T520D227M006ATE015,1,15.63,KEMET,CAP TANT POLY 220UF 6.3V 2917
T520V337M006ATE025,1,15.79,KEMET,CAP TANT POLY 330UF 6.3V 2917
T520V227M006ATE018,1,15.79,KEMET,CAP TANT POLY 220UF 6.3V 2917
T520D227M010ATE025,1,16.62,KEMET,CAP TANT POLY 220UF 10V 2917
T520V477M2R5ATE015,1,16.62,KEMET,CAP TANT POLY 470UF 2.5V 2917
T520D227M006ATE009,1,16.79,KEMET,CAP TANT POLY 220UF 6.3V 2917
T521T336M016ATE050,1,16.79,KEMET,CAP TANT POLY 33UF 16V 1411
T521T336M016ATE045,1,16.79,KEMET,CAP TANT POLY 33UF 16V 1411
T520V337M006ATE015,1,16.95,KEMET,CAP TANT POLY 330UF 6.3V 2917
T520D477M004ATE015,1,17.04,KEMET,CAP TANT POLY 470UF 4V 2917
T520D337M006ATE009,1,17.04,KEMET,CAP TANT POLY 330UF 6.3V 2917
T520D477M004ATE012,1,17.04,KEMET,CAP TANT POLY 470UF 4V 2917
T520V227M010ATE045,1,17.2,KEMET,CAP TANT POLY 220UF 10V 2917
T521V686M016ATE050,1,17.53,KEMET,CAP TANT POLY 68UF 16V 2917
T520V157M010ATE018,1,17.78,KEMET,CAP TANT POLY 150UF 10V 2917
T521V336M025ATE060,1,17.78,KEMET,CAP TANT POLY 33UF 25V 2917
T521V156M035ATE125,1,18.03,KEMET,CAP TANT POLY 15UF 35V 2917
T520V227M010ATE025,1,18.36,KEMET,CAP TANT POLY 220UF 10V 2917
T520D687M2R5ATE015,1,18.36,KEMET,CAP TANT POLY 680UF 2.5V 2917
T520V337M2R5ATE007,1,18.44,KEMET,CAP TANT POLY 330UF 2.5V 2917
T520V477M2R5ATE009,1,18.85,KEMET,CAP TANT POLY 470UF 2.5V 2917
T520D108M2R5ATE030,1,18.85,KEMET,CAP TANT POLY 1000UF 2.5V 2917
T521V476M020ATE055,1,18.94,KEMET,CAP TANT POLY 47UF 20V 2917
