KEMET Part Number,Rated Voltage /V,VDC  Surge Voltage /V,Rated Capacitance /uF,Shape,Shape_code,Length /mm,Width /mm,Height /mm,Diameter /mm,Cylinder_length /mm,DC Leakage /mA,Maximum Temperature /deg,Endurance /Hours,MSL /Reflow Temp 260 deg,SPQ,MOQ,Impedance /mohm 20deg 10 kHz,ESL /nH,Type_code,Type,Manufacturer_code,Manufacturer,Dissipation Factor,ESR /mohm 20deg 100 Hz,ESR /mohm 20deg 120 Hz,ESR /mohm 125deg 5 kHz,ESR /mohm 20deg 100 kHz,ESR /mohm 25deg 100 kHz,ESR /mohm 105deg 100 kHz,ESR /mohm 125deg 100 kHz,Ripple /A 40deg 100 Hz,Ripple /A 85deg 100 Hz,Ripple /A 105deg 100 Hz,Ripple /A 125deg 100 Hz,Ripple /A 85deg 120 Hz,Ripple /A 105deg 120 Hz,Ripple /A 60deg 5 kHz,Ripple /A 80deg 5 kHz,Ripple /A 85deg 5 kHz,Ripple /A 100deg 5 kHz,Ripple /A 105deg 5 kHz,Ripple /A 125deg 5 kHz,Ripple /A 140deg 5 kHz,Ripple /A 150deg 5 kHz,Ripple /A 40deg 10 kHz,Ripple /A 85deg 10 kHz,Ripple /A 105deg 10 kHz,Ripple /A 40deg 20 kHz,Ripple /A 25deg 100 kHz,Ripple /A 90deg 100 kHz,Ripple /A 105deg 100 kHz,Ripple /A 125deg 100 kHz,Ripple /A 135deg 100kHz,Ripple /A 150deg 100kHz,ESR_vs_frequency_100,ESR_vs_frequency_1000,ESR_vs_frequency_10000,ESR_vs_frequency_100000,ESR_vs_frequency_1000000,ESR_vs_temperature_0,ESR_vs_temperature_40,ESR_vs_temperature_80,ESR_vs_temperature_120,ESR_vs_temperature_160,current_ratio_vs_frequency_100,current_ratio_vs_frequency_1000,current_ratio_vs_frequency_10000,current_ratio_vs_frequency_100000,current_ratio_vs_frequency_1000000,current_ratio_vs_temperature_0,current_ratio_vs_temperature_40,current_ratio_vs_temperature_80,current_ratio_vs_temperature_120,current_ratio_vs_temperature_160
A700V107M002ATE016,2,,100,rectangular,1,73,43,20,,,0.012,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,16,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700V107M002ATE018,2,,100,rectangular,1,73,43,20,,,0.012,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,18,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700V107M002ATE025,2,,100,rectangular,1,73,43,20,,,0.012,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,25,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700V107M002ATE028,2,,100,rectangular,1,73,43,20,,,0.012,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,28,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700V157M002ATE015,2,,150,rectangular,1,73,43,20,,,0.018,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,15,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700V157M002ATE018,2,,150,rectangular,1,73,43,20,,,0.018,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,18,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700V157M002ATE025,2,,150,rectangular,1,73,43,20,,,0.018,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,25,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700V157M002ATE028,2,,150,rectangular,1,73,43,20,,,0.018,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,28,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700D187M002ATE015,2,,180,rectangular,1,73,43,31,,,0.022,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,15,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700D187M002ATE018,2,,180,rectangular,1,73,43,31,,,0.022,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,18,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700Q227M002ATE009,2,,220,rectangular,1,73,43,12,,,0.044,105,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,9,,,,,,,,,,,,,,,,,,,,,5.9,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700W227M002ATE006,2,,220,rectangular,1,73,43,15,,,0.026,105,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,6,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700W227M002ATE009,2,,220,rectangular,1,73,43,15,,,0.026,105,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,9,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700V227M002ATE009,2,,220,rectangular,1,73,43,20,,,0.026,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,9,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700V227M002ATE015,2,,220,rectangular,1,73,43,20,,,0.026,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,15,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700V227M002ATE018,2,,220,rectangular,1,73,43,20,,,0.026,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,18,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700D227M002ATE009,2,,220,rectangular,1,73,43,31,,,0.026,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,9,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700D227M002ATE012,2,,220,rectangular,1,73,43,31,,,0.026,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,12,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700D227M002ATE015,2,,220,rectangular,1,73,43,31,,,0.026,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,15,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700D227M002ATE018,2,,220,rectangular,1,73,43,31,,,0.026,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,18,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700X277M002ATE010,2,,270,rectangular,1,73,43,43,,,0.032,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,10,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700X277M002ATE012,2,,270,rectangular,1,73,43,43,,,0.032,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,12,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700X277M002ATE015,2,,270,rectangular,1,73,43,43,,,0.032,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,15,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700V337M002ATE4R5,2,,330,rectangular,1,73,43,21,,,0.04,125,1000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,4.5,,,,,,,,,,,,,,,,,,,,,7.75,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700V337M002ATE006,2,,330,rectangular,1,73,43,21,,,0.04,125,1000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,6,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700V337M002ATE009,2,,330,rectangular,1,73,43,21,,,0.04,125,1000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,9,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700D337M002ATE007,2,,330,rectangular,1,73,43,31,,,0.04,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,7,,,,,,,,,,,,,,,,,,,,,6,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700D337M002ATE009,2,,330,rectangular,1,73,43,31,,,0.04,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,9,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700D337M002ATE012,2,,330,rectangular,1,73,43,31,,,0.04,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,12,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
A700X337M002ATE010,2,,330,rectangular,1,73,43,43,,,0.04,125,2000,3,,,,,0,Aluminum Organic Capacitor,0,KEMET,0.06,,,,,10,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,0.821784665,0.087702329,0.027759093,0.02,0.020689353,0.122141117,0.073732723,0.06,0.042288914,0.022320198,0.044318182,0.3,0.7,1,1,1,1,1,1,1
